HERO,MV_SPD,MGC_PWR,MGC_DFN,MANA,HP_RGN,BA_CC,P_ATK,P_DFN,HP,ATK_SPD,MANA_RGN,SKILL_CC,ROLE,SPECIALLY
Miya,240,0,10,445,30,0,129,17,2524,0.85,15,0,MM,Reap
Balmond,260,0,10,0,47,0,119,25,2836,0.85,0,0,FT,Charge
Saber,260,0,10,443,35,0,118,17,2599,0.87,16,0,ASS,Charge
Alice,240,0,10,493,36,0,114,21,2573,0.8,18,0,MG,Charge
Nana,250,0,10,510,34,0,115,17,2501,0.864,18,0,SP,Poke
Tigreal,260,0,10,450,42,0,112,25,2890,0.826,12,0,TK,Crowrd Control
Alucard,260,0,10,0,39,0,123,21,2821,0.9,0,0,FT,Charge
Karina,260,0,10,431,29,0,121,20,2633,0.9,16,0,ASS,Charge
Akai,260,0,10,422,42,0,115,24,2769,0.85,12,0,TK,Initiator
Franco,260,0,10,440,46,0,116,25,2709,0.826,10,0,TK,Initiator
Bane,260,0,10,433,42,0,117,23,2559,0.85,12,0,FT,Push
Bruno,240,0,10,439,30,0,128,17,2522,0.85,15,0,MM,Reap
Clint,240,0,10,450,36,0,115,20,2530,0.842,15,0,MM,Burst
Rafaela,245,0,10,545,36,0,117,15,2441,0.792,23,0,SP,Regen
Eudora,250,0,10,468,38,0,112,19,2524,0.8,16,0,MG,Burst
Zilong,265,0,10,405,35,0,123,25,2689,0.964,16,0,FT,Charge
Fanny,265,0,10,0,33,0,126,19,2526,0.894,0,0,ASS,Charge
Layla,240,0,10,424,27,0,130,15,2500,0.85,14,0,MM,Reap
Minotaur,260,0,10,0,44,0,123,18,2709,0.73,0,0,TK,Crowrd Control
Lolita,260,0,10,480,48,0,115,27,2679,0.786,12,0,TK,Crowrd Control
Hayabusa,260,0,10,0,37,0,117,17,2629,0.854,0,0,ASS,Charge
Freya,260,0,10,462,49,0,109,22,2801,0.876,14,0,FT,Charge
Gord,240,0,10,570,32,0,110,13,2478,0.772,25,0,MG,Damage
Natalia,260,0,10,486,35,0,121,18,2589,0.886,18,0,ASS,Charge
Kagura,240,0,10,519,35,0,118,19,2556,0.816,21,0,MG,Damage
Chou,260,0,10,0,39,0,121,23,2708,0.884,0,0,FT,Charge
Sun,260,0,10,400,41,0,114,23,2758,0.916,16,0,FT,Charge
Alpha,260,0,10,453,39,0,121,20,2646,0.916,31,0,FT,Charge
Ruby,260,0,10,430,30,0,114,23,2859,0.858,14,0,FT,Crowrd Control
Yi Sun-Shin,250,0,10,438,36,0,124,18,2520,0.858,15,0,MM,Reap
Moscov,240,0,10,420,32,0,125,16,2455,0.814,15,0,MM,Push
Johnson,255,0,10,0,42,0,112,27,2809,0.826,12,0,TK,Crowrd Control
Cyclops,240,0,10,500,38,0,112,18,2521,0.8,20,0,MG,Damage
Estes,240,0,10,545,36,0,120,13,2221,0.8,18,0,SP,Regen
Hilda,260,0,10,0,42,0,123,24,2789,0.842,0,0,FT,Regen
Aurora,245,0,10,750,34,0,110,17,2501,0.8,23,0,MG,Crowrd Control
Lapu - Lapu,260,0,10,0,35,0,119,21,2628,0.9,16,0,FT,Charge
Vexana,245,0,10,490,38,0,112,17,2481,0.8,20,0,MG,Poke
Roger,240,0,10,450,36,0,128,22,2730,0.842,15,0,FT,Reap
Karrie,240,0,10,440,40,0,120,17,2578,0.8396,15,0,MM,Reap
Gatotkaca,260,0,10,420,42,0,120,20,2629,0.818,12,0,TK,Crowrd Control
Harley,240,0,10,490,36,0,114,19,2501,0.848,18,0,MG,Burst
Irithel,260,0,10,438,35,0,118,17,2540,0.826,15,0,MM,Reap
Grock,260,0,10,430,42,0,135,21,2819,0.81,12,0,TK,initiator
Argus,260,0,10,0,40,0,124,21,2628,0.916,0,0,FT,Charge
Odette,240,0,10,495,34,0,105,18,2491,0.8,23,0,MG,Burst
Lancelot,260,0,10,450,35,0,124,16,2549,0.87,16,0,ASS,Charge
Diggie,250,0,10,490,36,0,115,16,2351,0.8,20,0,SP,Crowrd Control
Hylos,260,0,10,430,92,0,105,17,3309,0.826,12,0,TK,Regen
Zhask,240,0,10,490,34,0,107,15,2401,0.8,20,0,MG,Push
Helcurt,255,0,10,440,35,0,121,17,2599,0.87,16,0,ASS,Charge
Pharsa,240,0,10,490,34,0,109,15,2421,0.7904,18,0,MG,Damage
Lesley,240,0,10,0,36,0,131,14,2490,0.826,0,0,MM,Reap
Jawhead,255,0,10,430,39,0,119,24,2778,0.9,16,0,FT,Charge
Angela,240,0,10,515,34,0,115,15,2421,0.792,18,0,SP,Regen
Gusion,260,0,10,460,39,0,119,18,2578,0.892,16,0,ASS,Charge
Valir,245,0,10,495,34,0,105,18,2516,0.8,18,0,MG,Burst
Martis,260,0,10,405,35,0,128,25,2738,0.868,16,0,FT,Reap
Uranus,260,0,10,455,32,0,115,20,2489,0.834,12,0,TK,Regen
Hanabi,245,0,10,390,30,0,105,17,2510,0.85,15,0,MM,Regen
Change,240,0,10,505,34,0,115,16,1301,0.808,21,0,MG,Reap
Kaja,270,0,10,400,52,0,120,16,2609,0.842,12,0,SP,Initiator
Selena,240,0,10,490,34,0,110,15,2401,0.804,18,0,ASS,Reap
Aldous,260,0,10,405,49,0,129,21,2718,0.836,18,0,FT,Push
Claude,240,0,10,450,40,0,97,14,2370,0.826,16,0,MM,Reap
Vale,250,0,10,490,34,0,115,15,2401,0.8,21,0,MG,Crowrd Control
Leomord,240,0,10,0,35,0,126,21,2738,0.844,0,0,FT,Push
Lunox,250,0,10,540,34,0,115,15,2521,0.808,23,0,MG,Damage
Hanzo,260,0,10,0,35,0,118,17,2594,0.87,0,0,ASS,Reap
Belerick,250,0,10,450,42,0,110,15,2719,0.81,12,0,TK,Regen
Kimmy,245,0,10,100,40,0,104,22,2450,0.826,0,0,MM,Damage
Thamuz,250,0,10,0,37,0,107,22,2758,0.844,0,0,FT,Reap
Harith,240,0,10,490,36,0,114,19,2701,0.84,18,0,MG,Charge
Minsitthar,260,0,10,380,37,0,121,23,2698,0.852,16,0,FT,Initiator
Kadita,240,0,10,495,36,0,105,18,2491,0.8,18,0,MG,Burst
Faramis,245,0,10,500,34,0,118,20,2543,0.784,19,0,SP,Initiator
Badang,255,0,10,0,40,0,119,23,2708,0.908,0,0,FT,Charge
Khufra,255,0,10,460,47,0,117,19,2859,0.786,15,0,TK,Crowrd Control
Granger,240,0,10,0,27,0,110,15,2490,0.818,0,0,MM,Reap
Guineveree,260,0,10,0,39,0,126,18,2528,0.918,0,0,MG,Charge
Esmeralda,240,0,10,502,36,0,114,21,2573,0.8,20,0,MG,Regen
Terizla,255,0,10,430,54,0,129,19,2728,0.8,21,0,FT,Damage
Dyrroth,265,0,10,0,41,0,117,22,2758,0.916,0,0,FT,Charge